id,prompt_name,input,target
0,general_qa,What is the difference between a corporate venture function and institutional venture firm?,"A corporate venture function, commonly known as a CVC, is typically a team within an operating entity that is focused on venture investing on behalf of its parent company. Investments completed by a corporate venture function is usually related to the industry the parent company operates in and investment goals are strategic in additional to being financial. An institutional venture firm is a standalone company whose operations is solely focused on investments and the focus is on financial returns."
1,general_qa,"In music theory, what is the circle of fifths?","The circle of fifths is a way of organizing the 12 chromatic pitches as a sequence of perfect fifths. (This is strictly true in the standard 12-tone equal temperament system — using a different system requires one interval of diminished sixth to be treated as a fifth). If C is chosen as a starting point, the sequence is: C, G, D, A, E, B (=C♭), F♯ (=G♭), C♯ (=D♭), A♭, E♭, B♭, F. Continuing the pattern from F returns the sequence to its starting point of C. This order places the most closely related key signatures adjacent to one another. It is usually illustrated in the form of a circle."
2,closed_qa,"When and where was Nero born?

Context:
Nero Claudius Caesar Augustus Germanicus (/ˈnɪəroʊ/ NEER-oh; born Lucius Domitius Ahenobarbus; 15 December AD 37 – 9 June AD 68), was the fifth Roman emperor and final emperor of the Julio-Claudian dynasty, reigning from AD 54 until his death in AD 68. He was adopted by the Roman emperor Claudius at the age of 13 and succeeded him on the throne. Nero was popular with the members of his Praetorian Guard and lower-class commoners in Rome and its provinces, but he was deeply resented by the Roman aristocracy. Most contemporary sources describe him as tyrannical, self-indulgent, and debauched. After being declared a public enemy by the Roman Senate, he committed suicide at age 30.

Nero was born at Antium in AD 37, the son of Gnaeus Domitius Ahenobarbus and Agrippina the Younger, a great-granddaughter of the emperor Augustus. When Nero was two years old, his father died. His mother married the emperor Claudius, who eventually adopted Nero as his heir; when Claudius died in AD 54, Nero became emperor with the support of the Praetorian Guard and the Senate. In the early years of his reign Nero was advised and guided by his mother Agrippina, his tutor Seneca the Younger, and his praetorian prefect Sextus Afranius Burrus, but he soon sought to rule independently and to rid himself of restraining influences. His power struggle with his mother was eventually resolved when he had her murdered. Roman sources also implicate Nero in the deaths of his wife Claudia Octavia – supposedly so that he could marry Poppaea Sabina – and of his step brother Britannicus.

Nero's practical contributions to Rome's governance focused on diplomacy, trade, and culture. He ordered the construction of amphitheaters, and promoted athletic games and contests. He also made public appearances as an actor, poet, musician, and charioteer, which scandalised his aristocratic contemporaries as these occupations were usually the domain of slaves, public entertainers and infamous persons. The provision of such entertainments made Nero popular among lower-class citizens, but his performances undermined the Imperial dignity. The costs involved were borne by local elites either directly or through taxation, and were much resented.

During Nero's reign, the general Corbulo fought the Roman–Parthian War of 58–63, and made peace with the hostile Parthian Empire. The Roman general Suetonius Paulinus quashed a major revolt in Britain led by the Iceni's queen Boudica. The Bosporan Kingdom was briefly annexed to the empire, and the First Jewish–Roman War began. When the Roman senator Vindex rebelled, with support from the eventual Roman emperor Galba, Nero was declared a public enemy and condemned to death in absentia. He fled Rome, and on 9 June AD 68 he committed suicide. His death sparked a brief period of civil war known as the Year of the Four Emperors.

Most Roman sources offer overwhelmingly negative assessments of his personality and reign. The historian Tacitus claims the Roman people thought him compulsive and corrupt. Suetonius tells that many Romans believed that the Great Fire of Rome was instigated by Nero to clear land for his planned ""Golden House"". Tacitus claims that Nero seized Christians as scapegoats for the fire and had them burned alive, seemingly motivated not by public justice but by personal cruelty. Some modern historians question the reliability of the ancient sources on Nero's tyrannical acts, considering his popularity among the Roman commoners. In the eastern provinces of the Empire, a popular legend arose that Nero had not died and would return. After his death, at least three leaders of short-lived, failed rebellions presented themselves as ""Nero reborn"" in order to gain popular support.

Early life
Nero was born Lucius Domitius Ahenobarbus on 15 December 37 AD in Antium (modern Anzio).: 87  He was an only-child, the son of the politician Gnaeus Domitius Ahenobarbus and Agrippina the Younger. His mother Agrippina was the sister of the third Roman emperor Caligula.: 5  Nero was also the great-great-grandson of former emperor Augustus (descended from Augustus' only daughter, Julia).: 2 

The ancient biographer Suetonius, who was critical of Nero's ancestors, wrote that emperor Augustus had reproached Nero's grandfather for his unseemly enjoyment of violent gladiator games. According to Jürgen Malitz, Suetonius tells that Nero's father was known to be ""irascible and brutal"", and that both ""enjoyed chariot races and theater performances to a degree not befitting their position"".: 3  Suetonius also mentions that when Nero's father Domitius was congratulated by his friends for the birth of his son, he replied that any child born to him and Agrippina would have a detestable nature and become a public danger.

Domitius died in 40 AD. A few years before his father's death, his father was involved in a serious political scandal.: 3  His mother and his two surviving sisters, Agrippina and Julia Livilla, were exiled to a remote island in the Mediterranean Sea.: 4  His mother was said to have been exiled for plotting to overthrow the emperor Caligula. Nero's inheritance was taken from him, and he was sent to live with his paternal aunt Domitia Lepida the Younger, the mother of later emperor Claudius's third wife, Messalina.: 11 


An aureus of Nero and his mother, c. 54. Caption: NERONIS CAES MATER AGRIPP. AVG. DIVI CLAVD. / NERONI CLAVD. DIVI F. CAES. AVG. GERM. IMP. TR. P. – EX SC
After Caligula's death, Claudius became the new Roman Emperor. Nero's mother married Claudius in 49 AD, becoming his fourth wife. By February, 49 AD, his mother had persuaded Claudius to adopt her son Nero.

After Nero's adoption by the emperor, ""Claudius"" became part of his name: Nero Claudius Caesar Drusus Germanicus. Claudius had gold coins issued to mark the adoption.: 119  Classics professor Josiah Osgood has written that ""the coins, through their distribution and imagery alike, showed that a new Leader was in the making."": 231  However, David Shotter noted that, despite events in Rome, Nero's step-brother Britannicus was more prominent in provincial coinages during the early 50s.: 52 

Bust of Nero, National Museum in Oslo
Nero formally entered public life as an adult in 51 AD at approximately 14 years old.: 51  When he turned 16, Nero married Claudius' daughter (his step-sister), Claudia Octavia. Between the years 51 AD and 53 AD, he gave several speeches on behalf of various communities, including the Ilians; the Apameans (requesting a five-year tax reprieve after an earthquake); and the northern colony of Bologna, after their settlement had suffered a devastating fire.: 231 

Claudius died in 54 AD; many ancient historians claim that he was poisoned by Agrippina. Shotter has written that ""Claudius' death in 54 AD has usually been regarded as an event hastened by Agrippina due to signs that Claudius was showing a renewed affection for his natural son"". He also notes that among ancient sources, the Roman historian Josephus was uniquely reserved in describing the poisoning as a rumor.: 53 

Contemporary sources differ in their accounts of the poisoning. Tacitus says that the poison-maker Locusta prepared the toxin, which was served to the Emperor by his servant Halotus. Tacitus also writes that Agrippina arranged for Claudius' doctor Xenophon to administer poison, in the event that the Emperor survived.: 53  Suetonius differs in some details, but also implicates Halotus and Agrippina. Like Tacitus, Cassius Dio writes that the poison was prepared by Locusta, but in Dio's account it is administered by Agrippina instead of Halotus. In Apocolocyntosis, Seneca the Younger does not mention mushrooms at all.: 54  Agrippina's involvement in Claudius' death is not accepted by all modern scholars.: 589 

Before Claudius' death, Agrippina had maneuvered to remove Claudius' sons' tutors in order to replace them with tutors that she had selected. She was also able to convince Claudius to replace two prefects of the Praetorian Guard (who were suspected of supporting Claudius' son) with Afranius Burrus (Nero's future guide).: 13  Since Agrippina had replaced the guard officers with men loyal to her, Nero was subsequently able to assume power without incident.: 417","Nero was born at Antium (modern day Anzio, Italy) on December, 15th 37 AD."
3,brainstorming,Name five countries in the Northern Hemisphere,"Canada, France, India, Finland and Turkey are countries located in the Northern Hemisphere."
4,brainstorming,Who are the top 5 basketball players of all time?,"The top 5 basketball players of all time will differ in opinion, depending on who you are talking to and in what region. But, a common list includes Michael Jordan, Lebron James, Kobe Bryant, Kareem Abdul Jabbar and Magic Johnson. Other players that are often mentioned in the conversation are Larry Bird, Bill Russel and Julius Erving."
5,open_qa,What are the basic rules of baseball?,"Baseball is a complex sport that can be confusing to newcomers. Baseball is a game played by two teams of 9 players on a large field with 4 bases. The team on defense has 9 players out in the field at once, which includes the pitcher and the catcher. The hitting team only has one player ""at-bat."" The pitcher throws the ball to the catcher, and the hitter attempts to hit the ball into the field and run to a base if they hit the ball into fair territory. If the player misses 3 times, they are out. If the pitcher throws a bad pitch 4 times, the hitter gets to go to first base automatically. The player can also get out if a fielder catches the ball in the air or tags first base before the runner gets there. The game itself is 9 innings of 3 outs for each team. Whoever has the most runs (when a player runs to all 4 bases) at the end of the game wins!"
6,information_extraction,"Who was Bosch's dad?

Context:
Bosch's mother was a prostitute in Hollywood who was murdered on October 28, 1961, when Bosch was 11 years old. His father, who he met later in life, was Mickey Haller Sr., a prominent defense attorney known for representing mobster Mickey Cohen, among other clients.",Bosch's father was Mickey Haller Sr. a well known defense lawyer.
7,closed_qa,"If there are only two genera remaining, what happened to the other 24?

Context:
According to the World Register of Marine Species, there are only two genera in this family. Previously there were about 26, but most of these have been reallocated as sub-genera of the remaining two genera, Mycale and Phlyctaenopora:",Most of the other 24 were reallocated as sub-genera of the remaining two genera.
8,open_qa,What is an amendment?,a change or addition to the Constitution
9,classification,"Identify the bird from the list: Bar-tailed godwit, Leopard, Shark",Bar-tailed godwit
10,classification,"Identify which instrument is string or percussion: Davul, Begena","Begena is string, Davul is percission."
