id,prompt_name,input,target
0,task062_bigbench_repeat_copy_logic,"This task evaluates for the ability to follow basic natural language instructions nested and performing a sequence of operations, including basic logic and conditionals.

Say hungry three times, then hippo two times, then feed me four times",hungry hungry hungry hippo hippo feed me feed me feed me feed me
1,task028_drop_answer_generation,"This task involves creating answers to complex questions, from a given passage. Answering these questions, typically involve understanding multiple sentences. Make sure that your answer has the same type as the ""answer type"" mentioned in input. The provided ""answer type"" can be of any of the following types: ""span"", ""date"", ""number"". A ""span"" answer is a continuous phrase taken directly from the passage or question. You can directly copy-paste the text from the passage or the question for span type answers. If you find multiple spans, please add them all as a comma separated list. Please restrict each span to five words. A ""number"" type answer can include a digit specifying an actual value. For ""date"" type answers, use DD MM YYYY format e.g. 11 Jan 1992. If full date is not available in the passage you can write partial date such as 1992 or Jan 1992. If you find multiple spans, please add them all as a comma separated list. Please restrict each span to five words.

Passage: Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week 16 duel with the Houston Texans.  Oakland would get the early lead in the first quarter as quarterback JaMarcus Russell completed a 20-yard touchdown pass to rookie wide receiver Chaz Schilens.  The Texans would respond with fullback Vonta Leach getting a 1-yard touchdown run, yet the Raiders would answer with kicker Sebastian Janikowski getting a 33-yard and a 30-yard field goal.  Houston would tie the game in the second quarter with kicker Kris Brown getting a 53-yard and a 24-yard field goal. Oakland would take the lead in the third quarter with wide receiver Johnnie Lee Higgins catching a 29-yard touchdown pass from Russell, followed up by an 80-yard punt return for a touchdown.  The Texans tried to rally in the fourth quarter as Brown nailed a 40-yard field goal, yet the Raiders' defense would shut down any possible attempt. 
Question: How many field goals did Sebastian Janikowski and Kris Brown both score each? 
Answer type: Number",2.
2,task046_miscellaneous_question_typing,"You are given a question-answer pair. Answer with their type. Pay attention that there may be more than one correct type, but you only have to choose one. In your responses, use of the following types: 
(1) Humans: Any individual or group of humans, including fictional ones (e.g., a group or organization of persons , an individual, title of a person, description of a person); 
(2) Event: Any phenomenon natural or artificial (e.g., named hurricanes, Battles, Wars, Sports events, Terrorist attacks); 
(3) Entity: A thing with distinct and independent existence (Animals, Organs of body, Colors, Inventions, books and other creative pieces, Currency name, Diseases, and medicine, Food, Musical instrument, Languages, Plants, Products, Religions, Sports, Elements and substances, Symbols and signs, Techniques and methods, Equivalent terms, Vehicles);  
(4) Facility: Something built for a particular purpose (Buildings, Airports, Highways, Bridges); 
(5) Location: A place (Cities, Countries, Mountains, States); 
(6) Law: Named documents made into laws (e.g., “the first amendment”, ""civil rights act""); 
(7) Organization: an organized body of people with a particular purpose (Company names, e.g. Google, Cults or terrorist groups, e.g. Al Qaeda); 
(8) Date: Absolute or relative dates or periods, bigger than 1 day (Years, Range, e.g. from Monday to Tuesday, or during the 20th century, Approximate time); 
(9) Time: Any temporal range/unit that is shorter than a day (e.g., 2 o'clock, 1 pm); 
(10) Money: Monetary values, including unit (e.g., ""$26"", ""914$""); 
(11) Quantity: postcodes or other codes, the number of sth, Ranks, fractions, speed, temperature, size, area, and volume, weight (e.g., ""26 degree"" ""17 inch""); 
(12) Description: description and abstract concepts (e.g., the definition of something, the manner of an action, reasons); 
(13) Abbreviation: expression abbreviated (e.g., AMT = abbreviation of Amazon Mechanical Turk). Don't generate any word that is not mentioned in the list of types (Humans, Event, Entity, Facility, Location, Law, Organization, Date, Time, Money, Quantity, Description, Abbreviation). If you can not associate any of the given types with the provided question and answer pair,  respond ""Other"".

Question: What is in front of the Notre Dame Main Building? (Answer: a copper statue of Christ).",Entity.
3,task099_reverse_elements_between_index_i_and_j,"In this task, you are given inputs i,j, and A, where i and j are integers and A is a list. You need to list all elements of A from the ith element to the jth element in the reverse order. i and j will be non-negative, and will always have a value less than the length of A. i will always be less than j.

8, 21, ['409', 'P', '5929', '1741', 'c', 'w', '6019', '15', '831', '9715', 'c', '559', '4873', '6087', '2029', 'd', 'B', '8353', 'i', 'S', '4041', 'M', 'f', 'R', 'H', '8801', '8553', '1891', '4349']","4041, S, i, 8353, B, d, 2029, 6087, 4873, 559, c, 9715, 831, 15"
4,task001_quoref_question_generation,"In this task, you're given passages that contain mentions of names of people, places, or things. Some of these mentions refer to the same person, place, or thing. Your job is to write questions that evaluate one's understanding of such references. Good questions are expected to link pronouns (she, her, him, his, their, etc.) or other mentions to people, places, or things to which they may refer. Do not ask questions that can be answered correctly without understanding the paragraph or having multiple answers. Avoid questions that do not link phrases referring to the same entity. For each of your questions, the answer should be one or more phrases in the paragraph, and it should be unambiguous.

Passage: Philip Arnold Heseltine (30 October 1894 – 17 December 1930), known by the pseudonym Peter Warlock, was a British composer and music critic. The Warlock name, which reflects Heseltine's interest in occult practices, was used for all his published musical works. He is best known as a composer of songs and other vocal music; he also achieved notoriety in his lifetime through his unconventional and often scandalous lifestyle.
As a schoolboy at Eton College, Heseltine met the British composer Frederick Delius, with whom he formed a close friendship. After a failed student career in Oxford and London, Heseltine turned to musical journalism, while developing interests in folk-song and Elizabethan music. His first serious compositions date from around 1915. Following a period of inactivity, a positive and lasting influence on his work arose from his meeting in 1916 with the Dutch composer Bernard van Dieren; he also gained creative impetus from a year spent in Ireland, studying Celtic culture and language. On his return to England in 1918, Heseltine began composing songs in a distinctive, original style, while building a reputation as a combative and controversial music critic.  During 1920–21 he edited the music magazine The Sackbut. His most prolific period as a composer came in the 1920s, when he was based first in Wales and later at Eynsford in Kent.
Through his critical writings, published under his own name, Heseltine made a pioneering contribution to the scholarship of early music. In addition, he produced a full-length biography of Frederick Delius and wrote, edited, or otherwise assisted the production of several other books and pamphlets. Towards the end of his life, Heseltine became depressed by a loss of his creative inspiration. He died in his London flat of coal gas poisoning in 1930, probably by his own hand.",What is the last name of the person who also achieved notoriety in his lifetime through his unconventional and often scandalous lifestyle?
5,task022_cosmosqa_passage_inappropriate_binary,"Read the given context and if the the context is inappropriate (e.g., pornographic) or nonsensical (e.g., cannot determine what happenings the context is about), indicate via ""yes"". Otherwise, response via ""no"".

Context: If you 're wondering why he had n't done this already , it 's because work has been extremely busy recently and there has n't been time . So , that brings me back to the girls and their bugs . We caught several toads in the grass while watching Dad on the roof . They had a great time holding them , watching them jump , etc .",No.
6,task088_identify_typo_verification,"The given sentence contains a typo which could be one of the following four types: (1) swapped letters of a word e.g. 'niec' is a typo of the word 'nice'. (2) missing letter in a word e.g. 'nic' is a typo of the word 'nice'. (3) extra letter in a word e.g. 'nicce' is a typo of the word 'nice'. (4) replaced letter in a word e.g 'nicr' is a typo of the word 'nice'. You need to identify the typo in the given sentence. To do this, answer with the word containing the typo.

A gropu of people riding on a cart traveling down a street.",gropu
7,task104_semeval_2019_task10_closed_vocabulary_mathematical_answer_generation,"You are given a mathematical question described with a circumscribed mathematical vocabulary. Questions in this task usually contain some variables (e.g. X, Y), equations (e.g. X+Y=3) and some relationships (X is greater than Y). Often you need to find the value of the variable using equations and relationships. You are also given 4 or 5 answer options (associated with ""A"", ""B"", ""C"", ""D"", ""E""). Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D', 'E'. LaTeX mathematical format (the standard way to express mathematical expressions in the typesetting software known as LaTeX) is used to express equations. Each question is solvable with high school math knowledge. Give only one answer for each question.

For all real numbers x and y, let \(\star\) be defined by \(x \star y = x^2 - y\). What is the value of \(4 \star (3 \star 2)\)?
(A)1 (B)9 (C)15 (D)24 (E)40",B
8,task026_drop_question_generation,"This task involves creating questions from a given passage that involve some kind of complex reasoning (including numerical reasoning). 
The generated questions must require looking at more than one part of the passage to answer. Try to use a variety of reasoning types in your questions (some of the sample reasoning types are illustrated in the 'positive examples' field) and also have a variety of answer types (spans, numbers, dates). A span is a continuous phrase taken directly from the passage or question. In such questions, the answer spans are recommended to be five words. Questions with answer type ""number"", are expected to start with ""How many"". For instance, ""How long did an event last?"" can be phrased as ""How many years did an event last?"". To increase diversity, try to create more questions for which the answer will be multiple spans. Please create questions that require AT LEAST 2 arithmetic operations as illustrated in the 'positive examples' field. You are encouraged to try DIFFERENT COMBINATIONS of operations and not just limit to the combinations shown in those examples. The more challenging questions you create, the better it is.

Passage: Hoping to rebound from their loss to the Patriots, the Raiders stayed at home for a Week 16 duel with the Houston Texans.  Oakland would get the early lead in the first quarter as quarterback JaMarcus Russell completed a 20-yard touchdown pass to rookie wide receiver Chaz Schilens.  The Texans would respond with fullback Vonta Leach getting a 1-yard touchdown run, yet the Raiders would answer with kicker Sebastian Janikowski getting a 33-yard and a 30-yard field goal.  Houston would tie the game in the second quarter with kicker Kris Brown getting a 53-yard and a 24-yard field goal. Oakland would take the lead in the third quarter with wide receiver Johnnie Lee Higgins catching a 29-yard touchdown pass from Russell, followed up by an 80-yard punt return for a touchdown.  The Texans tried to rally in the fourth quarter as Brown nailed a 40-yard field goal, yet the Raiders' defense would shut down any possible attempt.",How many field goals were scored in the game?
9,task103_facts2story_long_text_generation,"In this task, five ordered key facts are given. All the given facts are expressed in natural language. Your job is to generate a story 100 to 1000 words long, that includes all the facts given as input in their order of appearance while expanding upon them to produce a broader, yet coherent, narrative.

Fact1: Seventeen-year-old Tommy Ryan lives with Mrs. O‘Meara and teenage son, Fact2: Tommy is friend of son, Fact3: Eddie and stays here with us and finer lad friend of never trod green earth son, Fact4: foster brother hanging around pool hall with gang of teenage thieves led by Mike Hearn, Fact5: Hearn decided to get boy out of way by staging robbery at gas station and then framing him","Seventeenyearold Tommy Ryan lives with Mrs. O‘Meara, a seamstress, and her teenage son Eddie. Tommy’s exact status is unclear; Mrs. O’Meara’s says he is a friend of her son Eddie and “stays here with us and a finer lad never trod the green earth.” Tommy works in a grocery store and more than pulls his weight around the O’Meara home, but his foster brother Eddie is unemployed and hanging around a pool hall with a gang of teenage thieves led by Mike Hearn, the pool hall owner. Hearn promises teenage ‘Knuckles’ Malone 50 to steal a fur coat from a warehouse and sends Eddie O’Meara along to drive the getaway car. When the heist is thwarted and Knuckles nabbed by the police, Eddie escapes with the stolen goods and returns home. Tommy tries to repair the damage and keep the incident from Mrs. O’Meara by dumping the car and the furs outside of town. He is picked up by the police. In court, Tommy takes the rap in order to spare Mrs. O’Meara the grief of seeing her son implicated in the crime. Tommy and Knuckles are sentenced to the State Industrial School for three years. When alone for a moment with Eddie, Tommy urges him to take good care of his mother. At the State School, Tommy remains true to himself. He is honest, hard working, and well mannered. Dr. Owens, once a reform school inmate himself but now a morally upright professional man, takes an interest in the boy and urges him to plan for life after prison. He has Tommy removed from the crew at the school’s farm to work in his office. One day, Tommy discovers Eddie O’Meara is an inmate in the reformatory. Eddie dropped out of Hearn’s gang of thieves and found a job in order to take care of his mother, but Hearn feared Eddie would squeal to the police about the gang’s past. Hearn decided to get the boy out of his way by staging a robbery at the gas station where the boy worked and then framing him. Hearn now fears that Tommy, Eddie, and Knuckles will now “squawk” and realizes his operation is still in jeopardy. He decides to “spring” the three boys from prison and to silence them once he has them in his clutches. Tommy is reluctant to participate in the escape but when he learns that Hearn threats to rough up Mrs. O’Meara he has no choice but to escape and protect her. The escape plan is foiled, but later, Tommy and Knuckles manage to escape at gunpoint. At the pool hall, Tommy convinces Hearn he is on his side. A heist is planned. Tommy secretly makes plans to meet Dr. Owens at the site of the heist to apprehend Hearn and his gang. Hearn and his men are taken into custody after a car chase. With Dr. Owens assistance, Tommy and Eddie are paroled and restored to Mrs. O’Meara."
