id,prompt_name,input,target,source
0,classify,"Nigerian Rebels to Widen Conflict, Target Agip  LAGOS (Reuters) - Nigerian rebels fighting government  troops in the southern Port Harcourt area are poised to launch  an uprising across the entire oil-producing delta region to  force political reforms or gain sovereignty, a rebel leader  said on Sunday. 
What label best describes this news article?",World,ag_news
1,which_section_choices,"West sets deadline for Iran to freeze uranium enrichment Four western countries set the scene yesterday for a showdown with Iran by demanding that it freeze its uranium enrichment activities immediately. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",World,ag_news
2,which_section_choices,"Bush Offers Sympathy at Russian Embassy (AP) AP - President Bush made an unexpected visit to the Russian Embassy on Sunday where he signed a book of condolences for victims of the school hostage seizure and expressed outrage at the actions of ""evil terrorists."" 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",World,ag_news
3,classify_with_choices,"Cavaliers, Hokies Play Host Akron at No. 12 Virginia &lt;br&gt;   Where:  Scott Stadium, Charlottesville&lt;br&gt;   When:  3 p.m.    Radio:  WTNT-570    Tickets:  Sold out &lt;br&gt;   Another Top QB:  Like North Carolina's Darian Durant last week, Akron quarterback Charlie Frye is the key to his team's slim chances of upsetting the Cavaliers. The 6-foot-4 senior, likened by Virginia Coach Al Groh to recent ACC stars Matt Schaub and Philip Rivers, ranks fourth among active NCAA quarterbacks with 9,048 career passing yards. In losses the past two weeks to Penn State and Middle Tennessee, Frye completed 60 of 80 passes for 622 yards. Weather permitting, he will present a challenge for an inexperienced Virginia secondary that made a few too many errors in deep coverage in its first two games. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Sports,ag_news
4,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Toxic Algae Bloom Seen Off Washington State Coast An unusually large toxic bloom of algae, which could poison humans and taint shellfish, has been detected in the ocean off the northwest coast of Washington state, oceanographers said on Wednesday.",Sci/Tech,ag_news
5,classify,"Bin Laden Still At Large 3 Years After US Attacks The US-led anti-terrorism coalition is still hunting terror mastermind Osama bin Laden, the chief suspect in the September 11, 2001 deadly attacks on US cities. 
What label best describes this news article?",World,ag_news
6,which_section,"Over 80 hurt on first day of Bangladesh strike (Reuters) Reuters - Opposition activists in Bangladesh attacked railway stations and battled police across the country on Tuesday on the first day of a two-day strike called to protest against a deadly grenade attack at the weekend. 

Which section of a newspaper would this article likely appear in?",World,ag_news
7,which_section,"Orton Engineers Purdue Victory Over Illinois The Illinois rushing offense and the Purdue passing offense dueled in the Big Ten opener for both schools on Saturday at Memorial Stadium in Champaign. 

Which section of a newspaper would this article likely appear in?",Sports,ag_news
8,which_section,"Chelsea lay down the law on drugs as Mutu is shown door CHELSEA enforced a zero tolerance policy against drugs yesterday when they dismissed Adrian Mutu, the Romania striker, for gross misconduct after his positive test for cocaine. 

Which section of a newspaper would this article likely appear in?",Sports,ag_news
9,which_section,"Bush Web Site Bars Overseas Visitors (washingtonpost.com) washingtonpost.com - The Bush-Cheney reelection campaign has barred people outside the United States from viewing its Web site following an electronic attack that took down the campaign's Internet address for six hours last week, according\\to computer security experts. 

Which section of a newspaper would this article likely appear in?",Sci/Tech,ag_news
10,which_section_choices,"Headset Maker Plantronics Surfs on Games Wave  MILAN (Reuters) - Blockbuster video games and cheap  Internet phone calls are boosting demand for Plantronics'  &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=PLT.N qtype=sym infotype=info qcat=news""&gt;PLT.N&lt;/A&gt; headsets, the chief executive of the world's leading  maker of phone headsets said on Wednesday. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Sci/Tech,ag_news
11,classify,"Computer Assoc. Cuts 800 Jobs Worldwide (AP) AP - Computer Associates International Inc. announced a restructuring plan Wednesday that would reduce its work force by 800 people worldwide, saving the business software maker  #36;70 million annually once the plan is fully implemented. 
What label best describes this news article?",Sci/Tech,ag_news
12,classify_question_first,"What label best describes this news article?
US manufacturing activity picks up, construction surges to record &lt;b&gt;...&lt;/b&gt; US manufacturing activity remained strong in September and construction spending surged to a record high in August, according to a pair of reports issued Friday that provided an optimistic look at the sturdiness of the economy.",Business,ag_news
13,classify_with_choices,"Black to Sue Hollinger Committee for C\$1.1 Bln Fallen press baron Conrad Black will sue Hollinger International Inc. #39;s special committee and others for C\$1.1 billion (\$870 million) over a report that accused him of looting the company of millions of dollars. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Business,ag_news
14,classify,"Icahn pushes harder to stop Mylan #39;s King acquisition PITTSBURGH Carl Icahn, the largest shareholder of Mylan Laboratories, is now threatening to push for new company directors to stop the generic drug maker #39;s four (B) billion-dollar takeover bid of King Pharmaceuticals. 
What label best describes this news article?",Business,ag_news
15,which_section_choices,"Company: Ameritrade Hldg Corp New With presidential election-related uncertainty safely in the past, retail investors have returned to the US stock market with gusto, and they #39;re likely to stay engaged, several trading companies said Friday. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Business,ag_news
16,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

A.I.G. Agrees to Big Payment in U.S. Cases The company tentatively agreed to pay \$126 million and accept an independent monitor to settle investigations into the sale of insurance.",Business,ag_news
17,which_section,"U.S. Plans Crackdown on Piracy, Counterfeiting  WASHINGTON (Reuters) - The United States is cracking down  on the growing trade in counterfeit and pirated goods that  costs U.S. businesses hundreds of billions of dollar annually,  U.S. government and industry officials said on Monday. 

Which section of a newspaper would this article likely appear in?",Sci/Tech,ag_news
18,which_section_choices,"Merger could affect Nextel Partners The proposed \$35 billion merger of Sprint Corp. and Nextel Communications could mean changes for Kirkland-based Nextel Partners Inc. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Business,ag_news
19,which_section,"Sharon death threats spark probe Israeli police examine death threats against Prime Minister Ariel Sharon, amid mounting opposition to his Gaza pullout plan. 

Which section of a newspaper would this article likely appear in?",World,ag_news
20,which_section,"Chain Store Sales Mixed in Oct 16 Week  NEW YORK (Reuters) - U.S. chain store sales rose in the  second week of October compared with last year, as seasonal  shopping drove sales during the second week of the month, a  report said on Tuesday. 

Which section of a newspaper would this article likely appear in?",Business,ag_news
21,classify_question_first,"What label best describes this news article?
Cambodia's king 'has abdicated' Cambodia's King Sihanouk has announced his abdication, his son tells the country's National Assembly.",World,ag_news
22,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Greek membership of eurozone not in doubt BRUSSELS - Greece #39;s membership of the eurozone is not in doubt despite a damaging review of its budget data stretching back five years, a European Commission official said Monday.",Business,ag_news
23,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Surprise victory for Basescu in Romania Traian Basescu, a sea captain turned politician, won a surprise victory in Romania #39;s presidential run-off election held on Sunday, according to final results announced yesterday.",World,ag_news
24,which_section_choices,"MOTOR RACING: IT #39;S TWO IN A ROW FOR DARIO DARIO FRANCHITTI scored a scorching second Indy Racing League race of 2004 on a triumphant return to Pikes Peak. The Scot finished fourth at the Colorado track last year but this time he led the race four  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Sports,ag_news
25,which_section,"Howard University engineering programs get a boost Industry giants are giving Howard University \$70.6 million in technology to help the school #39;s engineering and science programs. 

Which section of a newspaper would this article likely appear in?",Business,ag_news
26,classify,"TEXANS STAT CENTER After finally winning consecutive games, the Texans are a team in search of a challenge.  quot;I knew that was going to come up, quot; Texans coach Dom Capers said with a laugh. 
What label best describes this news article?",Sports,ag_news
27,which_section_choices,"US Envoy Positive About Security Council Talks On Sudan Nairobi, Nov. 18 (NNN) : Ambassadors from the United Nations Security Council are set to meet in the Kenyan capital for talks on Sudan at a two-day event in Nairobi which will focus on the peace process in  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",World,ag_news
28,classify_with_choices,"Mularkey Sticking With Bledsoe As Bills QB (AP) AP - Mike Mularkey has a message to those clamoring for rookie quarterback J.P. Losman to replace Drew Bledsoe as Buffalo's starter. Not yet. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Sports,ag_news
29,classify,"For Arafat, Oslo Remained Symbol of Hope (AP) AP - Norway's capital could not have been further removed from the chaos and bloodshed of the Middle East. Yet it was as a result of top-secret meetings here that two veteran warriors decided it was time to talk peace. 
What label best describes this news article?",World,ag_news
30,which_section_choices,"Broncos Griffin reportedly out for season The Denver Broncos have lost tailback-turned-kickoff returner Quentin Griffin for the season, ESPN reported Tuesday, citing no sources. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Sports,ag_news
31,classify_question_first,"What label best describes this news article?
Some Weapons at Russia School Were Stolen MOSCOW Sept. 16, 2004 - Some of the weapons used by militants in the deadly Russian school siege were pilfered from police posts in armed raids allegedly led by one of Chechnya #39;s most notorious warlords, Russia #39;s",World,ag_news
32,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
New England #39;s win streak hits 19 In a part of the country that is steeped in history, New England #39;s NFL-record, 19-game winning streak might not be recognized with the same reverence as Paul Revere #39;s midnight",Sports,ag_news
33,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Orton does not start against Ohio State Purdue quarterback Kyle Orton did not start Saturday #39;s game against Ohio State, though he was listed as available to play. Orton has been bothered by a right hip injury for the last month.",Sports,ag_news
34,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

IBM Wins Lloyds TSB Network Contract IBM has signed a \$969-million deal to provide DSL-based Internet telephony and data services to Lloyds TSB, one of the largest banks in the UK.",Sci/Tech,ag_news
35,classify,"Travelers could soon report to work mid-flight NEW YORK - Business travelers will be able to surf the Web securely on long-distance flights by combining services from Boeing Co. 
What label best describes this news article?",Sci/Tech,ag_news
36,classify,"Oracle acquisition of PeopleSoft leads flurry of deals NEW YORK (CBS.MW) -- US stocks closed higher Monday, with the Dow Jones Industrial Average ending at its best level in more than nine months amid better-than-expected economic data and merger-related optimism. 
What label best describes this news article?",Business,ag_news
37,classify_with_choices,"Politics: Both sides eye climbing world oil prices nervously The news that the National party is to hold back on key policy announcements until closer to the election has had a mixed reception. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World,ag_news
38,which_section_choices,"Bama offense faces tough test Like most Alabama fans, injured quarterback Brodie Croyle will sweat out tonight #39;s LSU game at home. If, somehow, the Crimson Tide can knock off the 17th-ranked Tigers, Croyle  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Sports,ag_news
39,classify,"Cranes rain down as peace gesture Millions of origami paper cranes yesterday rained down upon Thailand #39;s three violence-torn southern provinces in an extravagant government-sponsored gesture aimed at bringing peace to the predominantly Muslim region. 
What label best describes this news article?",World,ag_news
40,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Virus poses as Christmas e-mail A computer virus posing as an electronic Christmas card is spreading across the net in many languages.",World,ag_news
41,classify_with_choices,"Web site pictures Photo iPod for holidays A Mac news site says iPods that display digital photos may be under Christmas trees this year. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Sci/Tech,ag_news
42,classify_with_choices,"BHP Billiton to expand Pilbara operations Iron ore miner BHP Billiton has announced a further expansion of its Pilbara operations, to meet continuing demand in Asia. Under its \$780 million Rapid Growth Project, BHP Billiton will increase its overall  
Is this a piece of news regarding world politics, sports, business, or science and technology?",Business,ag_news
43,which_section_choices,"Open-Roddick can #39;t wait for  #39;electric #39; atmosphere Andy Roddick hopes to use home advantage to the maximum as he begins the defence of his US Open crown next week. Roddick, who opens this year against American  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Sports,ag_news
44,classify_with_choices,"China Resources To Issue 57.97M Shrs For Supermarket Buys HONG KONG (Dow Jones)--China Resources Enterprise Ltd. (0291.HK) said it will issue 57.97 million new shares to its parent China Resources (Holdings) Co. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Business,ag_news
45,classify_question_first,"What label best describes this news article?
Jerry Rice Reiterates Call for Trade (AP) AP - Jerry Rice was scheduled to meet with Oakland Raiders owner Al Davis on Wednesday night to discuss the receiver's future after he said he wants to be traded.",Sports,ag_news
46,classify_question_first,"What label best describes this news article?
Desiring Stability Redskins coach Joe Gibbs expects few major personnel changes in the offseason and wants to instill a culture of stability in Washington.",Sports,ag_news
47,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Akamai boosts Web application services The company fills out its hosted application lineup with four products designed for e-commerce Web sites.",Sci/Tech,ag_news
48,classify,"Padres Paste Slumping Mets 4-0 (AP) AP - Brian Lawrence escaped a bases-loaded jam in the first inning and allowed just four hits the rest of the way Wednesday night, pitching the San Diego Padres to a 4-0 victory over the slumping New York Mets. 
What label best describes this news article?",Sports,ag_news
49,classify_question_first,"What label best describes this news article?
Moss officially out for Green Bay EDEN PRAIRIE, Minn. The Minnesota Vikings officially downgraded All-Pro receiver Randy Moss from doubtful to out for Sunday #39;s game at Green Bay.",Sports,ag_news
50,classify_with_choices,"US soldier pleads guilty in Iraq abuse case The highest-ranking US Army soldier accused of abusing prisoners at the Abu Ghraib prison in Iraq, has pleaded guilty to five charges. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World,ag_news
51,classify_question_first,"What label best describes this news article?
They #146;re in the wrong ATHENS -- Matt Emmons was focusing on staying calm. He should have been focusing on the right target.",Sports,ag_news
52,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

Next to digital IDs, passwords look lame How big is your key ring? There are the house keys, of course, and the car keys and the little fob for unlocking the doors from 30 feet away. And now there's this new blue thingamajig for logging onto the America Online Internet service. You don't have to use it, but it's not a bad idea, if you want to ...",Business,ag_news
