id,prompt_name,input,target
0,answer_with_class_label,What emotion does the following message express? i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,fear
1,predict_the_best_emotion_label,i feel so vulnerable and yet so protective over her. What emotion does the writer express for the message?,fear
2,reply_with_emoation_label,i kinda feel like i dont ever want to write again until i can make a character more beloved than harry potter because otherwise what is my story going to be to anyone. What is the emotion expressed in this message?,joy
3,predict_the_best_emotion_label,i did feel reluctant to keep on going and drew focalors sigil with a black opium incense stick on a wall by grabbing the wooden part and pulling the incense part back slightly and allowing it to smack to wall leaving a black powder line and meditated. What emotion does the writer express for the message?,fear
4,choose_the_best_emotion_label,i point these things out so as to make clear that i went into this film with the best intentions but left feeling irritated confused and wore out. The emotion expressed for the message is,anger
5,select_emotion_label_from_list,"'Given the message: i know that feeling myself the strange sense of serendipity where minds collide between pages. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",fear
6,select_emotion_label_from_list,"'Given the message: i feel as defeated as i did today i wonder if im doing this parenting thing all wrong. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",sadness
7,select_emotion_label_from_list,"'Given the message: i was reading through my old messages from knight and feeling very sentimental so i texted him back. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",sadness
8,predict_the_best_emotion_label,i also feel that seeing how the body reacts is an important step into changing the behavior. What emotion does the writer express for the message?,joy
9,answer_question_with_emotion_label,i feel as if her call was not a sincere apology. How will you feel about the message?,joy
10,answer_question_with_emotion_label,ive slowed down i take time to listen to my child and be in the moment and not feel like i need to immediately update my status on fb about the cute thing she did. How will you feel about the message?,joy
11,reply_with_emoation_label,im not going to lie some days i feel uber supportive and other days i feel uber frustrated. What is the emotion expressed in this message?,love
12,answer_question_with_emotion_label,i was feeling annoyed suddenly. How will you feel about the message?,anger
13,select_emotion_label_from_list,"'Given the message: when my relatives and i were in a car going slowly on a frozen road. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",fear
14,choose_the_best_emotion_label,i was yelling to the group in front and not getting an answer and getting increasingly concerned and feeling increasingly frustrated with those lagging behind despite repeated explanations and pleas from me regarding the need to catch up with the advance group. The emotion expressed for the message is,anger
15,answer_question_with_emotion_label,im so full of life i feel appalled. How will you feel about the message?,anger
16,predict_the_best_emotion_label,i am going to be a little selective about who i let read just for privacys sake but if you can relate to me why you want to read and if i feel your motivations are safe and okay then i will send you an invite. What emotion does the writer express for the message?,joy
17,answer_with_class_label,What emotion does the following message express? im home i can feel how the cold has seeped into my arms and legs,anger
18,answer_question_with_emotion_label,i feel sad and discouraged. How will you feel about the message?,sadness
19,choose_the_best_emotion_label,i feel crazily indecisive impulsive just in a. The emotion expressed for the message is,fear
20,answer_with_class_label,What emotion does the following message express? i was feeling bad over it with every passing minute,sadness
21,reply_with_emoation_label,i love the way he talks sometimes i feel shy when i was inside him. What is the emotion expressed in this message?,fear
22,choose_the_best_emotion_label,im typing all of these im blowing my nose and feeling extremely cranky. The emotion expressed for the message is,anger
23,reply_with_emoation_label,i feel writing to sell to pander to popular taste just to make money is a sucker s game. What is the emotion expressed in this message?,joy
24,answer_with_class_label,What emotion does the following message express? i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,fear
25,predict_the_best_emotion_label,i have been blogging i have told you of the countless ways that i feel loved and blessed by the people i call my friends. What emotion does the writer express for the message?,love
26,answer_with_class_label,What emotion does the following message express? i then had my watch from am this morning but was feeling just fine so did an additional hour so my dad could rest a little longer,joy
27,select_emotion_label_from_list,"'Given the message: i still feel ashamed at how i treated him. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",sadness
28,answer_question_with_emotion_label,i was feeling doubtful and sad about the relationship i have with this man. How will you feel about the message?,fear
29,select_emotion_label_from_list,"'Given the message: i feel a sense of relief and also sadness because im ending and my colleagues most anyway have been oh so fab. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",joy
30,answer_question_with_emotion_label,i feel exceptionally lucky to visit suzanna whose life here is pretty damn idyllic at least from the perspective of a vacationer breezing in for a week. How will you feel about the message?,joy
31,reply_with_emoation_label,i remember feeling surprised and stunned that a writer of the stature and quality of lauren had read one of my books long ago. What is the emotion expressed in this message?,surprise
32,select_emotion_label_from_list,"'Given the message: i arrived home hot sweaty and feeling a keen need for the chinese food i d put aside that morning. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",joy
33,reply_with_emoation_label,i do my best at making sure my husband feels loved important and cared for with my whole heart. What is the emotion expressed in this message?,love
