id,prompt_name,input,target
0,given_a_list_of_category_what_does_the_title_belong_to,"""Barbara Erskine"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Artist
1,given_a_list_of_category_what_does_the_title_belong_to,"""Deh-e Masud"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Village
2,given_list_what_category_does_the_paragraph_belong_to,"Brzostno [ˈbʐɔstnɔ] is a village in the administrative district of Gmina Choszczno within Choszczno County West Pomeranian Voivodeship in north-western Poland. It lies approximately 15 kilometres (9 mi) east of Choszczno and 75 km (47 mi) east of the regional capital Szczecin.Before 1945 the area was part of Germany. For the history of the region see History of Pomerania. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Village
3,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. La France (French newspaper) -  La France was a daily financial newspaper in the 19th century. Founded in August 1862 by Arthur de La Guéronnière the newspaper originally followed an editorial line that reconciled loyalty to Napoleon III with the reaffirmation of the temporal power of the Pope.It was bought in 1874 by Émile de Girardin founder of the famous newspaper La Presse and a longtime collaborator of La Guéronnière.",WrittenWork
4,given_a_choice_of_categories ,"The Best Years of Our Lives (Neil Diamond album) -  For other uses see The Best Years of Our Lives (disambiguation)The Best Years of Our Lives is the eighteenth studio album by Neil Diamond. It was released by Columbia Records in 1988 and reached number 46 on the Billboard 200 chart number 42 on the UK album chart and number 92 on the Australian chart.The album was certified gold by the RIAA on February 16 1989. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Album
5,given_a_list_of_category_what_does_the_title_belong_to,"""Lamprothyrsus"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Plant
6,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Mexican Teenagers EP -  Mexican Teenagers is an EP by American Guitarist Kaki King released in 2009.",Album
7,given_a_list_of_category_what_does_the_title_belong_to,"""Sisyrinchium pruinosum"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Plant
8,given_a_list_of_category_what_does_the_title_belong_to,"""Leonia (plant)"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Plant
9,given_list_what_category_does_the_paragraph_belong_to,"Helenów [xɛˈlɛnuf] is a village in the administrative district of Gmina Zwoleń within Zwoleń County Masovian Voivodeship in east-central Poland. It lies approximately 7 kilometres (4 mi) east of Zwoleń and 105 km (65 mi) south-east of Warsaw.The village has a population of 50. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Village
