id,prompt_name,input,target
0,Summarize this dialogue:,"Summarize this dialogue: Kim: Hi how's your tooth?
Jools: not there anymore
Jools: feels odd
Jools: like a huge hole in my mouth
Kim: does it hurt?
Jools: not now, I took some pills
Jools: but my whole head hurts :/
Kim: you're going to be better soon
Kim: can you eat?
Jools: not really
Jools: I can't eat or drink anything hot today
Jools: just some cool cocktails
Kim: <file_other>
Kim: I like these cocktails
Kim: I saw them at tesco
Jools: I'm on my way to tesco right now ;)
Jools: thanks, I'll try it
Jools: I'm starving
Kim: maybe just some drinks tonight? ;)
Kim: are you doing anything tonight?
Jools: I don't know, I will tell you in 2 hours ok?
Jools: I have to do some shopping and see how I am in a couple of hours
Kim: ok sure
Kim: take care",Jools is in pain after his tooth extraction. He is going to Tesco's to buy some cool cocktails. He will let Kim know in two hours if they can go out together tonight.
1,Given the above dialogue write a summary,"Magdalene: Are you coming to the cocktail party this Sunday?
Frederick: Yes
Josephine: I don't know yet
Josephine: Jamie is sick
Josephine: If he's not better I'll stay to take care of him 
Magdalene: I hope he gets better soon
Magdalene: I'm going. Let me know if you need a lift. 
Given the above dialogue, write a summary.","Frederick and Magdalene are coming to the cocktail party this Sunday. Josephine doesn't know yet, because Jamie is sick. Magdalene can give someone a lift."
2,Generate a summary for this dialogue,"Generate a summary for this dialogue:
Daniel: Privet, Sergey Mikhailovich!
Sergey: Hi, Daniel!
Daniel: How's the whole party thing going?
Sergey: Everything's fine, I'd say, a lot of people are already here and more are coming
Daniel: Ok, I should be there within an hour and a half
Sergey: Ok, don't worry
Daniel: Is Pamela there already?
Sergey: Yes :P
Daniel: Ok, see you later
Sergey: See you!","Daniel's going to Sergey's party, he'll be there in an hour and a half. Pamela's already there."
3,Given the above dialogue write a summary,"Patty: Going shopping tomorrow?
Joe: What choice do I have?
Patty: What do you mean?
Joe: I mean that I'll get loads of crap if I don't have a gift for Saturday.
Patty: Like from Sue?
Joe: Who else?
Patty: Didn't know she was like that!
Joe: She definitely is! Expects a gift on Father's Day, that chick!
Patty: Oh come on!
Joe: Well, it seems like it!
Patty: I can help you find something if you're having a hard time.
Joe: That would be great. I'm out of ideas.
Patty: Well, I kind of know what she likes. Has she hinted at anything?
Joe: Other than just a gift, no.
Patty: Well, what's the occasion, her b-day?
Joe: Yes. 
Patty: Why didn't you say so? You idiot!
Joe: What???
Patty: Of course you have to have a gift for your gf's birthday!
Joe: I guess.
Patty: Perfume? Jewelry? Furniture? Kitchen sink? What?
Joe: Jewelry, I guess.
Patty: Okay, like what? Does she wear earrings? Bracelet?
Joe: Earrings. Diamond ones. Don't get round ones I just got her those last month.
Patty: Okay, I think I know what you mean. What's the budget?
Joe: $500
Patty: Wow, sweet! I'm off to shop!
Joe: Thanks!
Given the above dialogue, write a summary.",Joe is going shopping tomorrow. Otherwise Sue will be mad at him for not getting her a gift for her birthday on Saturday. Joe and Patty decide that earrings within the range of $500 would be the best gift for Sue. Patty can help Joe pick them out.
4,Generate a summary for this dialogue,"Generate a summary for this dialogue:
Peter: How are you feeling?
May: Good, why?
Peter: I'm feeling a bit queasy, I don't know why
May: And you think it's because of the food?
Peter: I don't know, I didn't drink much so it's not that
May: I hope it's not the food, we had the same
Peter: Hm, weird, I'm not feeling great for about an hour now
May: I'm ok, but it's something you had before dinner. That restaurant has very good opinions
Peter: Maybe, but you know, accidents happen",May and Peter had the same food at the restaurant. Peter has been feeling sick for an hour. He didn't drink much.
5,Sum up the following dialogue,"Sum up the following dialogue: 
Petra: Hi Zack, I see you called. Sorry I can't pick up. In lectures all day.
Zack: Ok, when will the break be I can try then.
Petra: I will call you back in the lunch break because I am not sure if this lecturer will stick closely to the break times in the programme.
Zack: OK. 
Petra: Or you can write to me what it's about. I can type  and read I just can't listen or talk.","Zack called Petra, but she didn't answer because is in lectures all day. Petra will call Zack back during the break. Zack can write to Petra because she can read and write during the lecture. Petra can't talk or listen during the lecture."
6,Write a dialogue that match this summary,Write a dialogue that matches this summary: John had a fight with Martha about her boyfriend and his brother Andy. Mike met Andy once.,"John: Hi! Maybe u've been on the Bohemian Rhapsody?
Mike: Sure!
John: Gr8! I asked Angie, bt she hasn't seen it yet and then I got into a small fight with Martha.
Mike: What did u argue about?
John: She basically thinks I called her a skank.
Mike: And did u?
John: I thought she changed bfs, but turns out that her bf has a bro. 
Mike: Right, Andy.
John: U knew?
Mike: Yup. Met him once. Nice guy.
John: Y didn't u tell me?
Mike: U never asked."
7,Summarize:,"Summarize: Chris: At home?
Paul: Yeah.
Chris: Want to play some Overwatch?
Paul: Sure but I need to eat first.
Chris: Not a problem, just log in when ready.",Paul will log in to play Overwatch with Chris after he's eaten.
8,Sum up the following dialogue,"Sum up the following dialogue: 
Sam: I have sent you the invoice for last month.
David: Thanks! I'll check it later.
Sam: Also I think it makes sense to part ways after this month unless you can find someone to replace me sooner.
David: OK. Why do you want to leave?
Sam: Originally you said that you can provide me with 80-100 hours per month but it's never been more than 50 pcm.
David: ...
Sam: ATM it is even less. It's not really viable for me when all I get from you is about 5-6 hours per week spread over 3 days.
David: I see.
David: If you want to leave that's fine. We have been looking for someone to replace you in the meantime anyway.
Sam: OK. How soon do you think you can release me from the contract?
David: Hopefully next week.
Sam: When will you know?
David: Next week. :-)
Sam: OK.",Sam wants to end the contract with David. In the meantime David was already looking for someone to replace Sam. Hopefully Sam will be released from the contract next week.
9,Summarize this dialogue:,"Summarize this dialogue: Nick: Hi, got your message.
Ralph: Good, what do you say?
Nick: Depends. Need more info. Let's meet.
Ralph: Ok. Will email you later.","Nick got Ralph's message. Nick and Ralph will meet, because Nick needs more information. Ralph will send an email to Nick later."
